Path,Date,Amount in word form,Amount in number form
check_50.png,11-14-91,four million two hundred and eighty thousand,"4,280,000.00"
check_51.png,5-14-89,one hundred and ten,"110.00"
check_52.png,5-1-10,six million two hundred and fifty thousand,"6,250,000.00"
check_53.png,9-16-82,five hundred and twenty thousand,"520,000.00"
check_54.png,9-4-58,three hundred and eighteen,"318.00"
check_55.png,5-26-46,one hundred and twenty-nine,"129.00"
check_56.png,8-21-41,four hundred and eighty,"480.00"
check_57.png,3-8-36,three million eight hundred and ten thousand,"3,810,000.00"
check_58.png,6-27-64,seven million six hundred and thirty thousand,"7,630,000.00"
check_59.png,9-22-68,seven million six hundred and seventy thousand,"7,670,000.00"
check_60.png,3-17-83,five hundred and eighty-nine,"589.00"
check_61.png,10-19-10,six hundred and sixty,"660.00"
check_62.png,1-22-80,five hundred and eighty,"580.00"
check_63.png,3-19-76,six million five hundred and sixty thousand,"6,560,000.00"
check_64.png,8-26-45,seven million three hundred and ten thousand,"7,310,000.00"
check_65.png,6-21-64,four hundred and ninety-four,"494.00"
check_66.png,5-4-86,four hundred and fifty-one,"451.00"
check_67.png,4-13-57,nine hundred and five,"905.00"
check_68.png,1-6-67,six hundred and forty-nine,"649.00"
check_69.png,4-13-16,eight million one hundred thousand,"8,100,000.00"
check_70.png,4-7-45,five hundred and twenty-five,"525.00"
7mill.jpg,11/31/2019,seven million,"7,000,000.00"
10-05.jpg,11/12/13,ten dollars five cents,"10.05"
42001.jpg,7/4/76,forty two thousand and one dollar,"42,001.00"
blankcheck.jpg,3-1-01,nine-hundred ninety nine thousand,"999,000.00"
blankcheck2.jpg,03/18/1998,five hundred,"500.00"
five.jpg,12/24/24,five,"5.00"
onemillthree.jpg,1/2/03,one million and three,"1,000,003.00"
image_11.jpg,06/20/2019,forty six and 00/100,"46.00"
image_12.jpg,03/13/2020,twenty three only,"23.00"
image_13.jpg,04/12/2019,ninety three and 00/100 only,"93.00"
image_14.jpg,05/27/2020,one hundred thirteen only,"113.00"
image_15.jpg,04/09/2020,one hundred ten only,"110.00"
image_16.jpg,02/24/19,two hundred ninety three and 25/100,"293.25"
image_17.jpg,07/10/2020,thirty four and 55/100 only,"34.55"
image_18.jpg,08/07/2020,sixty seven only,"67.00"
image_19.jpg,03/20/2019,one hundred seventy eight only,"178.00"
image_20.jpg,08/10/2020,thirteen and 55/100,"13.55"
image_21.jpg,09/02/2019,seventy six and 23/100,"76.23"
image_22.jpg,11/25/2020,ninety eight only,"98.00"
image_23.jpg,10/11/2019,sixty eight only,"68.00"
image_24.jpg,11/26/2019,twenty five and 68 / 100 only,"25.68"
image_25.jpg,08/09/20,thirty two only,"32.00"
image_26.jpg,11/20/2020,one hundred fifty five and 55/100 only,"155.55"
image_27.jpg,12/08/2019,eighty six only,"86.00"
image_28.jpg,06/06/2020,one hundred twenty only,"120.00"
image_29.jpg,05/10/2019,forty nine only,"49.00"
image_30.jpg,08/04/2019,ninety nine and 99/100 only,"99.99"
image_31.jpg,04/04/2020,thirty two only,"32.00"
image_32.jpg,01/17/2020,seventy and 23/100 only,"70.23"
image_33.jpg,03/07/2019,one hundred seventy six and 23/100 only,"176.23"
image_34.jpg,06/20/2020,one hundred eight only,"108.00"
image_35.jpg,07/13/19,twenty four only,"24.00"
image_36.jpg,04/28/20,one hundred three and 5/100,"103.05"
image_37.jpg,03/09/19,twenty three and 10/100 only,"23.10"
